car,model_year,country,mileage,no_of_cylinders,displacement,hp,weight,acceleration,price
ford gran torino,1976,USA,14.5,8,351,152,4215,12.8,47075.0353
plymouth valiant,1976,USA,22,6,225,100,3233,15.4,40000
chevrolet nova,1976,USA,22,6,250,105,3353,14.5,44633.9943
ford maverick,1976,USA,24,6,200,81,3012,17.6,50179.7795
amc hornet,1976,USA,22.5,6,232,90,3085,17.6,13136.8475
chevrolet chevette,1976,USA,29,4,85,52,2035,22.2,40000
chevrolet woody,1976,USA,24.5,4,98,60,2164,22.1,30000
vw rabbit,1976,Europe,29,4,90,70,1937,14.2,20000
honda civic,1976,Japan,33,4,91,53,1795,17.4,40000
dodge aspen se,1976,USA,20,6,225,100,3651,17.7,30000
ford granada ghia,1976,USA,18,6,250,78,3574,21,26411.4726
pontiac ventura sj,1976,USA,18.5,6,250,110,3645,16.2,26090.2785
amc pacer d/l,1976,USA,17.5,6,258,95,3193,17.8,30000
volkswagen rabbit,1976,Europe,29.5,4,97,71,1825,12.2,23640.6786
datsun b-210,1976,Japan,32,4,85,70,1990,17,34072.2992
toyota corolla,1976,Japan,28,4,97,75,2155,16.4,22682.074
ford pinto,1976,USA,26.5,4,140,72,2565,13.6,40000
volvo 245,1976,Europe,20,4,130,102,3150,15.7,40000
plymouth volare premier v8,1976,USA,13,8,318,150,3940,13.2,22781.2806
peugeot 504,1976,Europe,19,4,120,88,3270,21.9,26121.7355
toyota mark ii,1976,Japan,19,6,156,108,2930,15.5,14501.0489
mercedes-benz 280s,1976,Europe,16.5,6,168,120,3820,16.7,24937.6759
cadillac seville,1976,USA,16.5,8,350,180,4380,12.1,16557.225
chevy c10,1976,USA,13,8,350,145,4055,12,30000
ford f108,1976,USA,13,8,302,130,3870,15,20000
dodge d100,1976,USA,13,8,318,150,3755,14,20000
honda accord cvcc,1977,Japan,31.5,4,98,68,2045,18.5,16288.2784
buick opel isuzu deluxe,1977,USA,30,4,111,80,2155,14.8,25530.8102
renault 5 gtl,1977,Europe,36,4,79,58,1825,18.6,20000
plymouth arrow gs,1977,USA,25.5,4,122,96,2300,15.5,30000
datsun f-10 hatchback,1977,Japan,33.5,4,85,70,1945,16.8,30000
chevrolet caprice classic,1977,USA,17.5,8,305,145,3880,12.5,30000
oldsmobile cutlass supreme,1977,USA,17,8,260,110,4060,19,30000
dodge monaco brougham,1977,USA,15.5,8,318,145,4140,13.7,40000
mercury cougar brougham,1977,USA,15,8,302,130,4295,14.9,20000
chevrolet concours,1977,USA,17.5,6,250,110,3520,16.4,20000
buick skylark,1977,USA,20.5,6,231,105,3425,16.9,30000
plymouth volare custom,1977,USA,19,6,225,100,3630,17.7,26631.0058
ford granada,1977,USA,18.5,6,250,98,3525,19,36453.9163
pontiac grand prix lj,1977,USA,16,8,400,180,4220,11.1,16330.9632
chevrolet monte carlo landau,1977,USA,15.5,8,350,170,4165,11.4,40000
chrysler cordoba,1977,USA,15.5,8,400,190,4325,12.2,20000
ford thunderbird,1977,USA,16,8,351,149,4335,14.5,40000
volkswagen rabbit custom,1977,Europe,29,4,97,78,1940,14.5,44398.3896
pontiac sunbird coupe,1977,USA,24.5,4,151,88,2740,16,22768.3634
toyota corolla liftback,1977,Japan,26,4,97,75,2265,18.2,24051.7123
ford mustang ii 2+2,1977,USA,25.5,4,140,89,2755,15.8,30000
chevrolet chevette,1977,USA,30.5,4,98,63,2051,17,40000
dodge colt m/m,1977,USA,33.5,4,98,83,2075,15.9,36578.7454
subaru dl,1977,Japan,30,4,97,67,1985,16.4,32735.6575
volkswagen dasher,1977,Europe,30.5,4,97,78,2190,14.1,20000
datsun 810,1977,Japan,22,6,146,97,2815,14.5,42883.2564
bmw 320i,1977,Europe,21.5,4,121,110,2600,12.8,23927.4425
mazda rx-4,1977,Japan,21.5,3,80,110,2720,13.5,23761.7839
volkswagen rabbit custom diesel,1978,Europe,43.1,4,90,48,1985,21.5,30000
ford fiesta,1978,USA,36.1,4,98,66,1800,14.4,30000
mazda glc deluxe,1978,Japan,32.8,4,78,52,1985,19.4,32914.1929
datsun b210 gx,1978,Japan,39.4,4,85,70,2070,18.6,40000
honda civic cvcc,1978,Japan,36.1,4,91,60,1800,16.4,30000
oldsmobile cutlass salon brougham,1978,USA,19.9,8,260,110,3365,15.5,30000
dodge diplomat,1978,USA,19.4,8,318,140,3735,13.2,40000
mercury monarch ghia,1978,USA,20.2,8,302,139,3570,12.8,34088.8302
pontiac phoenix lj,1978,USA,19.2,6,231,105,3535,19.2,30000
chevrolet malibu,1978,USA,20.5,6,200,95,3155,18.2,20000
ford fairmont (auto),1978,USA,20.2,6,200,85,2965,15.8,30000
ford fairmont (man),1978,USA,25.1,4,140,88,2720,15.4,40000
plymouth volare,1978,USA,20.5,6,225,100,3430,17.2,30000
amc concord,1978,USA,19.4,6,232,90,3210,17.2,30000
buick century special,1978,USA,20.6,6,231,105,3380,15.8,40000
mercury zephyr,1978,USA,20.8,6,200,85,3070,16.7,33560.688
dodge aspen,1978,USA,18.6,6,225,110,3620,18.7,33043.9913
amc concord d/l,1978,USA,18.1,6,258,120,3410,15.1,25625.9722
chevrolet monte carlo landau,1978,USA,19.2,8,305,145,3425,13.2,50024.6889
buick regal sport coupe (turbo),1978,USA,17.7,6,231,165,3445,13.4,20000
ford futura,1978,USA,18.1,8,302,139,3205,11.2,35375.4642
dodge magnum xe,1978,USA,17.5,8,318,140,4080,13.7,26331.1233
chevrolet chevette,1978,USA,30,4,98,68,2155,16.5,49295.8484
toyota corona,1978,Japan,27.5,4,134,95,2560,14.2,30000
datsun 510,1978,Japan,27.2,4,119,97,2300,14.7,35110.4197
dodge omni,1978,USA,30.9,4,105,75,2230,14.5,24166.9112
toyota celica gt liftback,1978,Japan,21.1,4,134,95,2515,14.8,14511.7947
plymouth sapporo,1978,USA,23.2,4,156,105,2745,16.7,36338.2348
oldsmobile starfire sx,1978,USA,23.8,4,151,85,2855,17.6,30000
datsun 200-sx,1978,Japan,23.9,4,119,97,2405,14.9,47709.8206
audi 5000,1978,Europe,20.3,5,131,103,2830,15.9,43261.8296
volvo 264gl,1978,Europe,17,6,163,125,3140,13.6,44815.8791
saab 99gle,1978,Europe,21.6,4,121,115,2795,15.7,47597.9027
peugeot 604sl,1978,Europe,16.2,6,163,133,3410,15.8,23051.8955
volkswagen scirocco,1978,Europe,31.5,4,89,71,1990,14.9,30000
honda accord lx,1978,Japan,29.5,4,98,68,2135,16.6,20000
pontiac lemans v6,1979,USA,21.5,6,231,115,3245,15.4,20000
mercury zephyr 6,1979,USA,19.8,6,200,85,2990,18.2,37443.8559
ford fairmont 4,1979,USA,22.3,4,140,88,2890,17.3,20000
amc concord dl 6,1979,USA,20.2,6,232,90,3265,18.2,12840.5786
dodge aspen 6,1979,USA,20.6,6,225,110,3360,16.6,26927.1157
chevrolet caprice classic,1979,USA,17,8,305,130,3840,15.4,30000
ford ltd landau,1979,USA,17.6,8,302,129,3725,13.4,52480.0676
mercury grand marquis,1979,USA,16.5,8,351,138,3955,13.2,13073.5854
dodge st. regis,1979,USA,18.2,8,318,135,3830,15.2,8766.4447
buick estate wagon (sw),1979,USA,16.9,8,350,155,4360,14.9,24606.1223
ford country squire (sw),1979,USA,15.5,8,351,142,4054,14.3,25696.0889
chevrolet malibu classic (sw),1979,USA,19.2,8,267,125,3605,15,26157.2352
chrysler lebaron town @ country (sw),1979,USA,18.5,8,360,150,3940,13,14944.4885
vw rabbit custom,1979,Europe,31.9,4,89,71,1925,14,40000
maxda glc deluxe,1979,Japan,34.1,4,86,65,1975,15.2,20000
dodge colt hatchback custom,1979,USA,35.7,4,98,80,1915,14.4,44271.5932
amc spirit dl,1979,USA,27.4,4,121,80,2670,15,40000
mercedes benz 300d,1979,Europe,25.4,5,183,77,3530,20.1,20000
cadillac eldorado,1979,USA,23,8,350,125,3900,17.4,44274.4075
peugeot 504,1979,Europe,27.2,4,141,71,3190,24.8,24639.374
oldsmobile cutlass salon brougham,1979,USA,23.9,8,260,90,3420,22.2,33062.1204
plymouth horizon,1979,USA,34.2,4,105,70,2200,13.2,30000
plymouth horizon tc3,1979,USA,34.5,4,105,70,2150,14.9,22906.7008
datsun 210,1979,Japan,31.8,4,85,65,2020,19.2,30000
fiat strada custom,1979,Europe,37.3,4,91,69,2130,14.7,30000
buick skylark limited,1979,USA,28.4,4,151,90,2670,16,33322.5205
chevrolet citation,1979,USA,28.8,6,173,115,2595,11.3,30000
oldsmobile omega brougham,1979,USA,26.8,6,173,115,2700,12.9,45923.5355
pontiac phoenix,1979,USA,33.5,4,151,90,2556,13.2,49548.6227
vw rabbit,1980,Europe,41.5,4,98,76,2144,14.7,48911.3137
toyota corolla tercel,1980,Japan,38.1,4,89,60,1968,18.8,20000
chevrolet chevette,1980,USA,32.1,4,98,70,2120,15.5,8400.6967
datsun 310,1980,Japan,37.2,4,86,65,2019,16.4,34035.2848
chevrolet citation,1980,USA,28,4,151,90,2678,16.5,34799.2821
ford fairmont,1980,USA,26.4,4,140,88,2870,18.1,17032.3451
amc concord,1980,USA,24.3,4,151,90,3003,20.1,30000
dodge aspen,1980,USA,19.1,6,225,90,3381,18.7,30000
audi 4000,1980,Europe,34.3,4,97,78,2188,15.8,40000
toyota corona liftback,1980,Japan,29.8,4,134,90,2711,15.5,40000
mazda 626,1980,Japan,31.3,4,120,75,2542,17.5,27206.1378
datsun 510 hatchback,1980,Japan,37,4,119,92,2434,15,47697.0772
toyota corolla,1980,Japan,32.2,4,108,75,2265,15.2,30000
mazda glc,1980,Japan,46.6,4,86,65,2110,17.9,30000
dodge colt,1980,USA,27.9,4,156,105,2800,14.4,52035.8336
datsun 210,1980,Japan,40.8,4,85,65,2110,19.2,26407.8438
vw rabbit c (diesel),1980,Europe,44.3,4,90,48,2085,21.7,51239.1442
vw dasher (diesel),1980,Europe,43.4,4,90,48,2335,23.7,40000
audi 5000s (diesel),1980,Europe,36.4,5,121,67,2950,19.9,44494.544
mercedes-benz 240d,1980,Europe,30,4,146,67,3250,21.8,20000
honda civic 1500 gl,1980,Japan,44.6,4,91,67,1850,13.8,20000
renault lecar deluxe,1980,Europe,40.9,4,85,,1835,17.3,32650.6516
subaru dl,1980,Japan,33.8,4,97,67,2145,18,35335.9831
vokswagen rabbit,1980,Europe,29.8,4,89,62,1845,15.3,30000
datsun 280-zx,1980,Japan,32.7,6,168,132,2910,11.4,25944.3252
mazda rx-7 gs,1980,Japan,23.7,3,70,100,2420,12.5,44730.2462
triumph tr7 coupe,1980,Europe,35,4,122,88,2500,15.1,30000
ford mustang cobra,1980,USA,23.6,4,140,,2905,14.3,24749.7365
honda accord,1980,Japan,32.4,4,107,72,2290,17,40000
plymouth reliant,1981,USA,27.2,4,135,84,2490,15.7,43221.3722
buick skylark,1981,USA,26.6,4,151,84,2635,16.4,20000
dodge aries wagon (sw),1981,USA,25.8,4,156,92,2620,14.4,11460.9057
chevrolet citation,1981,USA,23.5,6,173,110,2725,12.6,40000
plymouth reliant,1981,USA,30,4,135,84,2385,12.9,33838.4128
toyota starlet,1981,Japan,39.1,4,79,58,1755,16.9,30000
plymouth champ,1981,USA,39,4,86,64,1875,16.4,24040.3933
honda civic 1300,1981,Japan,35.1,4,81,60,1760,16.1,26717.1008
subaru,1981,Japan,32.3,4,97,67,2065,17.8,13900.6154
datsun 210 mpg,1981,Japan,37,4,85,65,1975,19.4,17268.1702
toyota tercel,1981,Japan,37.7,4,89,62,2050,17.3,50475.6879
mazda glc 4,1981,Japan,34.1,4,91,68,1985,16,49150.5756
plymouth horizon 4,1981,USA,34.7,4,105,63,2215,14.9,30000
ford escort 4w,1981,USA,34.4,4,98,65,2045,16.2,20000
ford escort 2h,1981,USA,29.9,4,98,65,2380,20.7,20000
volkswagen jetta,1981,Europe,33,4,105,74,2190,14.2,30000
renault 18i,1981,Europe,34.5,4,100,,2320,15.8,30000
honda prelude,1981,Japan,33.7,4,107,75,2210,14.4,20000
toyota corolla,1981,Japan,32.4,4,108,75,2350,16.8,30000
datsun 200sx,1981,Japan,32.9,4,119,100,2615,14.8,30000
mazda 626,1981,Japan,31.6,4,120,74,2635,18.3,40000
peugeot 505s turbo diesel,1981,Europe,28.1,4,141,80,3230,20.4,20000
volvo diesel,1981,Europe,30.7,6,145,76,3160,19.6,40000
toyota cressida,1981,Japan,25.4,6,168,116,2900,12.6,30000
datsun 810 maxima,1981,Japan,24.2,6,146,120,2930,13.8,32646.3995
buick century,1981,USA,22.4,6,231,110,3415,15.8,25571.4689
oldsmobile cutlass ls,1981,USA,26.6,8,350,105,3725,19,30000
ford granada gl,1981,USA,20.2,6,200,88,3060,17.1,30000
chrysler lebaron salon,1981,USA,17.6,6,225,85,3465,16.6,23723.7753
chevrolet cavalier,1982,USA,28,4,112,88,2605,19.6,27234.6643
chevrolet cavalier wagon,1982,USA,27,4,112,88,2640,18.6,42666.9138
chevrolet cavalier 2-door,1982,USA,34,4,112,88,2395,18,40000
pontiac j2000 se hatchback,1982,USA,31,4,112,85,2575,16.2,27074.3948
dodge aries se,1982,USA,29,4,135,84,2525,16,20000
pontiac phoenix,1982,USA,27,4,151,90,2735,18,33111.1381
ford fairmont futura,1982,USA,24,4,140,92,2865,16.4,51186.9152
amc concord dl,1982,USA,23,4,151,,3035,20.5,37179.288
volkswagen rabbit l,1982,Europe,36,4,105,74,1980,15.3,33472.7914
mazda glc custom l,1982,Japan,37,4,91,68,2025,18.2,44607.8661
mazda glc custom,1982,Japan,31,4,91,68,1970,17.6,34686.4234
plymouth horizon miser,1982,USA,38,4,105,63,2125,14.7,48111.1021
mercury lynx l,1982,USA,36,4,98,70,2125,17.3,30000
nissan stanza xe,1982,Japan,36,4,120,88,2160,14.5,34612.0087
honda accord,1982,Japan,36,4,107,75,2205,14.5,30000
toyota corolla,1982,Japan,34,4,108,70,2245,16.9,30000
honda civic,1982,Japan,38,4,91,67,1965,15,30000
honda civic (auto),1982,Japan,32,4,91,67,1965,15.7,30000
datsun 310 gx,1982,Japan,38,4,91,67,1995,16.2,30000
buick century limited,1982,USA,25,6,181,110,2945,16.4,25289.8338
oldsmobile cutlass ciera (diesel),1982,USA,38,6,262,85,3015,17,9944.3063
chrysler lebaron medallion,1982,USA,26,4,156,92,2585,14.5,34986.2184
ford granada l,1982,USA,22,6,232,112,2835,14.7,22973.0194
toyota celica gt,1982,Japan,32,4,144,96,2665,13.9,20000
dodge charger 2.2,1982,USA,36,4,135,84,2370,13,17421.6269
chevrolet camaro,1982,USA,27,4,151,90,2950,17.3,12550
ford mustang gl,1982,USA,27,4,140,86,2790,15.6,13432.5
vw pickup,1982,Europe,44,4,97,52,2130,24.6,37000
dodge rampage,1982,USA,32,4,135,84,2295,11.6,47800
ford ranger,1982,USA,28,4,120,79,2625,18.6,46000
chevy s-10,1982,USA,31,4,119,82,2720,19.4,9000
